id,title,summary,directors,screenwriters,producers,cinematographers,editors,distributors,music_composers,release_date,running_time,budget,box_office,rating,trailer,poster,wiki
16779b28-3d3f-481b-aa1f-26ac69dd89b5,Harry Potter and the Half-Blood Prince,"The sixth installment in the Harry Potter series begins with Harry accompanying Dumbledore to persuade Horace Slughorn to return to teaching at Hogwarts. Harry suspects Malfoy is now a Death Eater and is determined to find out the truth. Harry eventually becomes Slughorn’s favorite student upon finding a book belonging to the “Half-Blood Prince”. Using this connection, Dumbledore successfully obtains a memory from Slughorn linking to a young Voldemort and his inquiries about Horcruxes. Harry and Dumbledore venture out to find and destroy a Horcrux unaware of the grave fate that awaits them.",['David Yates'],['Steve Kloves'],"['David Heyman', 'David Barron']",['Bruno Delbonnel'],['Mark Day'],['Warner Bros. Pictures'],['Nicholas Hooper'],7 July 2009,153 minutes,$250 million,$934.5 million,PG-13,https://www.youtube.com/watch?v=JYLdTuL9Wjw,https://www.wizardingworld.com/images/products/films/rectangle-6.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film)
6ffa04b7-3f38-4fa0-bf1e-6ac882be22ad,Harry Potter and the Deathly Hallows – Part 1,"After Dumbledore’s death, it is up to Harry, Ron, and Hermione to seek out the remaining Horcruxes and destroy them if they hope to defeat Voldemort. Each of them is passed on something from Dumbledore as clues to finding the Horcruxes. On their own, without the guidance of their professors or the protection of Professor Dumbledore, the three friends must now rely on one another more than ever. After managing to recover and destroy Slytherin’s locket, one of the Horcruxes, Hermione discovers about the Deathly Hallows from the book Dumbledore passed on to her. Will Harry be able to stop Voldemort if he recovers all the deathly hallows and becomes the Master of Death?",['David Yates'],['Steve Kloves'],"['David Heyman', 'David Barron', 'J. K. Rowling']",['Eduardo Serra'],['Mark Day'],['Warner Bros. Pictures'],['Alexandre Desplat'],11 November 20010,146 minutes,$250 million (shared with part 2),$977 million,PG-13,https://www.youtube.com/watch?v=Su1LOpjvdZ4,https://www.wizardingworld.com/images/products/films/rectangle-7.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Deathly_Hallows:_Part_1
db5ec412-8644-4ea4-b641-c6b804dd3609,Fantastic Beasts: The Crimes of Grindelwald,"Fantastic Beasts: The Crimes of Grindelwald continues the story of Newt Scamander as he chases Credence Barebone on orders by Dumbledore, who suspects him to be Corvus Lestrange V. A twisted tale of vengeance and treachery unveils itself as the story advances and the true identity of Credence becomes even more obscure. Grindelwald’s plan to cause a war between muggles and wizards is set into motion, and Credence joins him.",['David Yates'],[],"['David Heyman', 'J. K. Rowling', 'Steve Kloves', 'Lionel Wigram']",['Philippe Rousselot'],['Mark Day'],['Warner Bros. Pictures'],['James Newton Howard'],16 November 2018,134 minutes,$200 million,$654.9 million,PG-13,https://www.youtube.com/watch?v=8bYBOVWLNIs,https://www.wizardingworld.com/images/products/films/rectangle-10.png,https://harrypotter.fandom.com/wiki/Fantastic_Beasts:_The_Crimes_of_Grindelwald
8d57ade7-f203-4fdf-b43b-0ea3072197c6,Fantastic Beasts: The Secrets of Dumbledore,"The third movie in the Fantastic Beast Series sees Grindelwald trying to destroy the muggle world as Newt and his allies including Dumbledore try to stop him. Grindelwald kills a Qilin, a magical beast, to become the Supreme Leader of the ICW. Credence rethinks his decision to join Grindelwald upon realizing that he is the illegitimate son of Aberforth Dumbledore. The epic showdown takes place in Bhutan, where Dumbledore and Grindelwald fight it out after the blood pact that prevented them from dueling breaks. Grindelwald disapparates from the place and his plans are put to end.",['David Yates'],['Steve Kloves'],"['David Heyman', 'J. K. Rowling', 'Steve Kloves', 'Lionel Wigram']",['George Richmond'],['Mark Day'],['Warner Bros. Pictures'],['James Newton Howard'],8 April 2022,142 minutes,$200 million,$379.8 million,PG-13,https://www.youtube.com/watch?v=Y9dr2zw-TXQ,,https://harrypotter.fandom.com/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore
6968f1e1-456c-486c-91c8-f5c3a9c358df,Harry Potter and the Philosopher's Stone,"Harry Potter’s dull life is completely changed on his eleventh birthday when a mysterious letter addressed to him arrives in the mail. After finding out about his real parents and a whole hidden wizarding world, he goes on to Hogwarts, his new magical school. From battling a troll to flying on broomsticks to catch golden snitches, Harry’s new life promises to be full of joy and adventure, until he finds out about a certain Dark Lord who murdered his parents is trying to regain power. With his friends Hermione and Ron, Harry sets out to find the philosopher’s stone before Voldemort to prevent his return. After advancing through a particularly difficult set of traps designed by the school, Harry faces the Dark Lord and manages to keep the Philosopher’s Stone safe.",['Chris Columbus'],['Steve Kloves'],"['Chris Columbus', 'David Heyman', 'Mark Radcliffe']",['John Seale'],['Richard Francis-Bruce'],['Warner Bros. Pictures'],"['John Williams', 'Conrad Pope']",4 November 2001,152 minutes,$125 million,$1.018 million,PG,https://www.youtube.com/watch?v=PbdM1db3JbY,https://www.wizardingworld.com/images/products/films/rectangle-1.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Philosopher's_Stone_(film)
0ee4cbed-0ff9-4f8e-93d8-413b0986172c,Harry Potter and the Chamber of Secrets,"Harry’s second year at Hogwarts begins with a series of mishaps when he and Ron miss the train to Hogwarts. Furthermore, a mysterious Chamber of Secrets has been opened inside Hogwarts and students are getting petrified one after the another. Harry, Ron and Hermione start to uncover the dark tale behind the chamber using a diary Harry found, which leads them into the lair of an Acromantula. Ginny gets kidnapped and it is up to Harry to save her and the school from the monster of the Chamber of Secrets.",['Chris Columbus'],['Steve Kloves'],"['Chris Columbus', 'David Heyman', 'Mark Radcliffe']",['Roger Pratt'],['Peter Honess'],['Warner Bros. Pictures'],"['John Williams', 'William Ross', 'Conrad Pope']",15 November 2002,161 minutes,$125 million,$879.6 million,PG,https://www.youtube.com/watch?v=2lSpGlsZtk0,https://www.wizardingworld.com/images/products/films/rectangle-2.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(film)
32729057-9f0a-476f-b83c-0beabd827a5a,Fantastic Beasts and Where to Find Them,"Fantastic Beasts and Where to Find Them tells the tale of magizoologist Newton (Newt) Scamander and his adventure through New York City in the 1920s. A thrilling chase ensues when the magical creatures inside Newt’s suitcase are freed inside the city. Along with his new friends Jacob, a muggle, and Queenie, Newt must recapture all the creatures before they lay destruction to the city. However, things get complicated as a lurking Obscurial reveals itself and the Magical Congress of United States (MACUSA) intervenes.",['David Yates'],[],"['David Heyman', 'J. K. Rowling', 'Steve Kloves', 'Lionel Wigram']",['Philippe Rousselot'],['Mark Day'],['Warner Bros. Pictures'],['James Newton Howard'],10 November 2016,133 minutes,$175–200 million,$814 million,PG-13,https://www.youtube.com/watch?v=Vso5o11LuGU,https://www.wizardingworld.com/images/products/films/rectangle-9.png,https://harrypotter.fandom.com/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film)
40168875-0aa0-47d8-ae88-4a24bb910534,Harry Potter and the Prisoner of Azkaban," After unintentionally using magic against Aunt Marge, Harry arrives at the Leaky Cauldron and learns that a killer named Sirius Black is after him. Hogwarts is under a dark and grim spell with Dementors, the ghostly guardians of Azkaban, looking for Black. Harry and his friends spend their third year learning how to handle a half-horse half-eagle Hippogriff, repel shape-shifting Boggarts and master the art of Divination. Harry also inherits a strange map and finds out the truth about Sirius Black being his godfather. Battling against dementors and werewolves, an incredible story unfolds as Harry masters advanced magic, crosses the barriers of time and changes the course of more than one life.",['Alfonso Cuarón'],['Steve Kloves'],"['Chris Columbus', 'David Heyman', 'Mark Radcliffe']",['Michael Seresin'],['Steven Weisberg'],['Warner Bros. Pictures'],"['John Williams', 'Conrad Pope']",15 November 2002,142 minutes,$130 million,$797.4 million,PG,https://www.youtube.com/watch?v=1ZdlAg3j8nI,https://www.wizardingworld.com/images/products/films/rectangle-3.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film)
ed7c5184-74c3-4d63-9bb7-90a323157b9e,Harry Potter and the Deathly Hallows – Part 2,"In the epic conclusion to the Harry Potter series, Harry, Ron and Hermione rush to find the remaining Horcruxes and destroy them. Their search leads them to robbing the Gringotts bank and finally back to their home, Hogwarts. Voldemort kills Snape to win over the allegiance of the Elder Wand, who gives Harry a memory before dying. Going through the memory, Harry comes to realize the bitter truth that he must sacrifice himself to bring down Voldemort. As the final battle rages on at Hogwarts, death and destruction follow, and many of the loved characters draw their last breath. This final movie, takes all the previous installments and builds upon it, painting a beautiful end to the much loved tale of Harry Potter.",['David Yates'],['Steve Kloves'],"['David Heyman', 'David Barron', 'J. K. Rowling']",['Eduardo Serra'],['Mark Day'],['Warner Bros. Pictures'],['Alexandre Desplat'],7 July 2011,130 minutes,$250 million (shared with part 1),"$1,342 billion",PG-13,https://www.youtube.com/watch?v=5NYt1qirBWg,https://www.wizardingworld.com/images/products/films/rectangle-8.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Deathly_Hallows:_Part_2
3308a082-7b2b-48e4-a754-48b0f03a16db,Harry Potter and the Goblet of Fire,"In his fourth year at Hogwarts, Harry is mysteriously selected as a champion for the Triwizard Tournament. Three dangerous tasks await the champions from different schools, each tougher than the next. With the help of his new Defence Against the Dark Arts teacher, Professor Moody, Harry manages to advance through dragons, water demons and enchanted mazes to find himself in the clutches of Lord Voldemort. With the return of the Dark Lord and the Ministry denying Harry’s claims, will things ever return to how they were?",['Mike Newell'],['Steve Kloves'],['David Heyman'],['Roger Pratt'],['Mick Audsley'],['Warner Bros. Pictures'],['Patrick Doyle'],6 November 2005,157 minutes,$150 million,$896.7 million,PG-13,https://www.youtube.com/watch?v=PFWAOnvMd1Q,https://www.wizardingworld.com/images/products/films/rectangle-4.png,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Goblet_of_Fire_(film)
